"Localidade";"Ano";"Frota de Veículos - Total (número)";"População - Projeção  - Masculina - Total -UFRN (habitantes)";"Frota de Veículos - Automóvel (número)";"População - Projeção  - Feminina - Total - UFRN (habitantes)";"Frota de Veículos - Motocicleta (número)";"Frota de Veículos - Ônibus (número)"
"Abadia de Goiás";"2014";"3.282";"3785";"1.578";"3948";"800";"8"
"Abadia de Goiás";"2015";" 3.634 ";"3876";" 1.748 ";"4047";" 859 ";" 8 "
"Abadia de Goiás";"2016";" 3.876 ";"3967";" 1.868 ";"4147";" 914 ";" 7 "
"Abadia de Goiás";"2017";" 4.155 ";"4058";" 2.008 ";"4246";" 976 ";" 11 "
"Abadia de Goiás";"2018";"4.426";"4150";"2.150";"4346";"1.019";"13"
"Abadia de Goiás";"2019";"4.746";"4241";"2.307";"4445";"1.097";"14"
"Abadia de Goiás";"2020";"5.083";"4332";"2.453";"4544";"1.152";"14"
"Abadia de Goiás";"2021";"5.519";"4423";"2.621";"4645";"1.259";"18"
"Abadia de Goiás";"2022";"6.012";"4513";"2.798";"4744";"1.364";"35"
"Abadia de Goiás";"2023";"6.561";"4602";"3.005";"4843";"1.502";"36"
"Abadia de Goiás";"2024";"7.346";"4690";"3.315";"4939";"1.703";"38"
"Abadiânia";"2014";"4.744";"9131";"2.289";"8713";"1.080";"28"
"Abadiânia";"2015";" 5.013 ";"9363";" 2.440 ";"8949";" 1.114 ";" 31 "
"Abadiânia";"2016";" 5.223 ";"9599";" 2.554 ";"9189";" 1.134 ";" 30 "
"Abadiânia";"2017";" 5.451 ";"9835";" 2.671 ";"9429";" 1.152 ";" 34 "
"Abadiânia";"2018";"5.761";"10074";"2.838";"9672";"1.198";"36"
"Abadiânia";"2019";"5.932";"10312";"2.945";"9914";"1.204";"36"
"Abadiânia";"2020";"6.261";"10548";"3.101";"10156";"1.239";"37"
"Abadiânia";"2021";"6.591";"10789";"3.252";"10401";"1.294";"38"
"Abadiânia";"2022";"6.952";"11028";"3.424";"10646";"1.341";"41"
"Abadiânia";"2023";"7.384";"11266";"3.612";"10888";"1.392";"46"
"Abadiânia";"2024";"7.936";"11501";"3.855";"11129";"1.483";"51"
"Acreúna";"2014";"9.264";"10826";"3.781";"10345";"1.990";"109"
"Acreúna";"2015";" 9.954 ";"10881";" 4.145 ";"10409";" 2.090 ";" 127 "
"Acreúna";"2016";" 10.488 ";"10928";" 4.421 ";"10462";" 2.163 ";" 122 "
"Acreúna";"2017";" 11.006 ";"10967";" 4.688 ";"10509";" 2.218 ";" 126 "
"Acreúna";"2018";"11.493";"11003";"4.873";"10555";"2.276";"125"
"Acreúna";"2019";"12.005";"11033";"5.118";"10595";"2.353";"132"
"Acreúna";"2020";"12.679";"11055";"5.443";"10631";"2.418";"131"
"Acreúna";"2021";"13.376";"11073";"5.726";"10658";"2.457";"136"
"Acreúna";"2022";"14.101";"11083";"5.902";"10679";"2.561";"144"
"Acreúna";"2023";"14.963";"11087";"6.145";"10696";"2.676";"163"
"Acreúna";"2024";"15.578";"11084";"6.342";"10706";"2.743";"169"
"Adelândia";"2014";"1.023";"1283";"446";"1238";"298";"5"
"Adelândia";"2015";" 1.122 ";"1281";" 507 ";"1243";" 313 ";" 6 "
"Adelândia";"2016";" 1.162 ";"1276";" 535 ";"1244";" 316 ";" 6 "
"Adelândia";"2017";" 1.230 ";"1270";" 555 ";"1244";" 329 ";" 6 "
"Adelândia";"2018";"1.279";"1265";"582";"1246";"330";"6"
"Adelândia";"2019";"1.335";"1259";"606";"1247";"338";"7"
"Adelândia";"2020";"1.385";"1254";"621";"1249";"349";"8"
"Adelândia";"2021";"1.422";"1246";"634";"1247";"357";"8"
"Adelândia";"2022";"1.453";"1238";"661";"1245";"352";"8"
"Adelândia";"2023";"1.445";"1229";"661";"1243";"346";"8"
"Adelândia";"2024";"1.516";"1221";"685";"1241";"355";"8"
"Água Fria de Goiás";"2014";"939";"2877";"483";"2509";"196";"19"
"Água Fria de Goiás";"2015";" 1.070 ";"2900";" 558 ";"2538";" 217 ";" 21 "
"Água Fria de Goiás";"2016";" 1.107 ";"2920";" 581 ";"2562";" 220 ";" 21 "
"Água Fria de Goiás";"2017";" 1.133 ";"2938";" 588 ";"2585";" 224 ";" 21 "
"Água Fria de Goiás";"2018";"1.200";"2956";"616";"2609";"236";"24"
"Água Fria de Goiás";"2019";"1.209";"2973";"612";"2632";"240";"24"
"Água Fria de Goiás";"2020";"1.259";"2988";"631";"2655";"237";"26"
"Água Fria de Goiás";"2021";"1.309";"3002";"657";"2675";"246";"26"
"Água Fria de Goiás";"2022";"1.344";"3015";"658";"2693";"248";"27"
"Água Fria de Goiás";"2023";"1.397";"3025";"669";"2711";"265";"28"
"Água Fria de Goiás";"2024";"1.450";"3034";"694";"2729";"270";"29"
"Água Limpa";"2014";"624";"1042";"331";"968";"135";"2"
"Água Limpa";"2015";" 727 ";"1038";" 391 ";"968";" 151 ";" 2 "
"Água Limpa";"2016";" 770 ";"1029";" 411 ";"962";" 157 ";" 2 "
"Água Limpa";"2017";" 809 ";"1020";" 425 ";"956";" 162 ";" 2 "
"Água Limpa";"2018";"841";"1012";"448";"952";"165";"2"
"Água Limpa";"2019";"847";"1005";"452";"948";"168";"2"
"Água Limpa";"2020";"893";"999";"487";"946";"171";"3"
"Água Limpa";"2021";"922";"987";"519";"938";"164";"3"
"Água Limpa";"2022";"946";"976";"524";"930";"171";"3"
"Água Limpa";"2023";"997";"966";"540";"924";"182";"3"
"Água Limpa";"2024";"1.065";"956";"566";"918";"190";"3"
"Águas Lindas de Goiás";"2014";"27.406";"94207";"12.720";"94366";"4.737";"638"
"Águas Lindas de Goiás";"2015";" 29.900 ";"97736";" 13.942 ";"98018";" 5.022 ";" 705 "
"Águas Lindas de Goiás";"2016";" 31.092 ";"101341";" 14.343 ";"101689";" 5.201 ";" 703 "
"Águas Lindas de Goiás";"2017";" 32.101 ";"105016";" 14.724 ";"105444";" 5.375 ";" 692 "
"Águas Lindas de Goiás";"2018";"33.150";"108828";"15.055";"109351";"5.526";"751"
"Águas Lindas de Goiás";"2019";"33.996";"112708";"15.263";"113345";"5.726";"746"
"Águas Lindas de Goiás";"2020";"35.944";"116653";"15.858";"117422";"6.065";"751"
"Águas Lindas de Goiás";"2021";"38.366";"120614";"16.705";"121454";"6.482";"735"
"Águas Lindas de Goiás";"2022";"40.358";"124650";"17.138";"125575";"6.992";"736"
"Águas Lindas de Goiás";"2023";"42.983";"128748";"17.759";"129776";"7.683";"751"
"Águas Lindas de Goiás";"2024";"45.863";"132900";"18.500";"134050";"8.447";"774"
"Alexânia";"2014";"9.325";"12863";"5.077";"12637";"1.659";"40"
"Alexânia";"2015";" 10.563 ";"13019";" 5.697 ";"12791";" 1.864 ";" 48 "
"Alexânia";"2016";" 11.307 ";"13165";" 6.056 ";"12936";" 1.977 ";" 52 "
"Alexânia";"2017";" 11.940 ";"13304";" 6.383 ";"13074";" 2.064 ";" 56 "
"Alexânia";"2018";"12.530";"13443";"6.652";"13211";"2.187";"54"
"Alexânia";"2019";"13.148";"13577";"6.954";"13343";"2.307";"55"
"Alexânia";"2020";"13.802";"13704";"7.299";"13467";"2.390";"53"
"Alexânia";"2021";"14.573";"13826";"7.658";"13589";"2.489";"57"
"Alexânia";"2022";"15.092";"13940";"7.873";"13704";"2.568";"69"
"Alexânia";"2023";"15.563";"14049";"8.010";"13812";"2.686";"67"
"Alexânia";"2024";"16.210";"14151";"8.264";"13913";"2.792";"70"
"Aloândia";"2014";"954";"1049";"383";"1010";"343";"3"
"Aloândia";"2015";" 1.007 ";"1046";" 415 ";"1010";" 348 ";" 3 "
"Aloândia";"2016";" 1.046 ";"1039";" 439 ";"1004";" 352 ";" 4 "
"Aloândia";"2017";" 1.062 ";"1033";" 451 ";"999";" 349 ";" 4 "
"Aloândia";"2018";"1.102";"1027";"471";"995";"352";"5"
"Aloândia";"2019";"1.136";"1020";"497";"991";"356";"5"
"Aloândia";"2020";"1.191";"1014";"511";"989";"364";"6"
"Aloândia";"2021";"1.244";"1005";"535";"981";"363";"6"
"Aloândia";"2022";"1.327";"997";"568";"974";"375";"6"
"Aloândia";"2023";"1.383";"988";"579";"968";"389";"6"
"Aloândia";"2024";"1.453";"980";"607";"962";"401";"6"
"Alto Horizonte";"2014";"2.032";"2855";"836";"2640";"507";"23"
"Alto Horizonte";"2015";" 2.203 ";"2986";" 900 ";"2766";" 539 ";" 20 "
"Alto Horizonte";"2016";" 2.280 ";"3117";" 951 ";"2894";" 546 ";" 20 "
"Alto Horizonte";"2017";" 2.372 ";"3254";" 989 ";"3027";" 568 ";" 17 "
"Alto Horizonte";"2018";"2.446";"3397";"1.025";"3166";"577";"17"
"Alto Horizonte";"2019";"2.608";"3547";"1.117";"3310";"594";"26"
"Alto Horizonte";"2020";"2.779";"3702";"1.186";"3458";"604";"25"
"Alto Horizonte";"2021";"2.999";"3859";"1.274";"3611";"615";"50"
"Alto Horizonte";"2022";"3.148";"4022";"1.303";"3768";"652";"66"
"Alto Horizonte";"2023";"3.384";"4190";"1.389";"3930";"681";"66"
"Alto Horizonte";"2024";"3.618";"4365";"1.461";"4097";"720";"76"
"Alto Paraíso de Goiás";"2014";"2.008";"3540";"931";"3716";"444";"11"
"Alto Paraíso de Goiás";"2015";" 2.213 ";"3560";" 1.020 ";"3764";" 495 ";" 15 "
"Alto Paraíso de Goiás";"2016";" 2.351 ";"3573";" 1.071 ";"3803";" 531 ";" 16 "
"Alto Paraíso de Goiás";"2017";" 2.478 ";"3585";" 1.128 ";"3840";" 554 ";" 16 "
"Alto Paraíso de Goiás";"2018";"2.580";"3598";"1.152";"3879";"573";"16"
"Alto Paraíso de Goiás";"2019";"2.722";"3611";"1.214";"3918";"583";"18"
"Alto Paraíso de Goiás";"2020";"2.871";"3624";"1.278";"3956";"594";"19"
"Alto Paraíso de Goiás";"2021";"3.055";"3630";"1.358";"3987";"606";"19"
"Alto Paraíso de Goiás";"2022";"3.225";"3635";"1.398";"4017";"644";"21"
"Alto Paraíso de Goiás";"2023";"3.418";"3640";"1.464";"4047";"693";"21"
"Alto Paraíso de Goiás";"2024";"3.615";"3644";"1.542";"4075";"731";"23"
"Alvorada do Norte";"2014";"3.059";"4258";"1.440";"4110";"777";"14"
"Alvorada do Norte";"2015";" 3.361 ";"4275";" 1.613 ";"4128";" 824 ";" 16 "
"Alvorada do Norte";"2016";" 3.522 ";"4286";" 1.703 ";"4136";" 854 ";" 16 "
"Alvorada do Norte";"2017";" 3.708 ";"4294";" 1.804 ";"4143";" 877 ";" 17 "
"Alvorada do Norte";"2018";"3.855";"4302";"1.890";"4151";"883";"17"
"Alvorada do Norte";"2019";"4.053";"4308";"1.977";"4159";"902";"19"
"Alvorada do Norte";"2020";"4.266";"4312";"2.081";"4166";"917";"19"
"Alvorada do Norte";"2021";"4.445";"4312";"2.176";"4165";"944";"19"
"Alvorada do Norte";"2022";"4.568";"4309";"2.223";"4164";"955";"20"
